eacID,nixonName
37-wht-eac-00000001,"Abad, Francis L., Jr."
37-wht-eac-00000002,"Abate, Joseph"
37-wht-eac-00000003,"Abdnor, James"
37-wht-eac-00000004,"Abdallah, Abdul R."
37-wht-eac-00000005,"Abel, Ilorwith W."
37-wht-eac-00000006,"Ablard, Charles D."
37-wht-eac-00000007,"Abplanalp, Robert H."
37-wht-eac-00000008,"Abrams, Creighton W., Jr. (Gen.)"
37-wht-eac-00000009,"Abrams, Evelyn"
37-wht-eac-00000010,"Abshire, David M."
37-wht-eac-00000011,"Acheson, Dean G."
37-wht-eac-00000012,"Acker, Marjorie P."
37-wht-eac-00000013,"Acree, Vernon D."
37-wht-eac-00000014,"Adair, E. Ross (Mrs.)"
37-wht-eac-00000015,"Adams, David"
37-wht-eac-00000016,"Adams, Lane W."
37-wht-eac-00000017,"Adams, Peter"
37-wht-eac-00000018,"Adkins, Roger"
37-wht-eac-00000019,"Agnew, Spiro T. (Vice President)"
37-wht-eac-00000020,"Ahlers, Conrad"
37-wht-eac-00000021,"Ahlgren, Henry"
37-wht-eac-00000022,"Ahmed, Aziz"
37-wht-eac-00000023,"Ahmed, M. M."
37-wht-eac-00000024,"Aiken, George D."
37-wht-eac-00000025,"Akalovsky, Alexander"
37-wht-eac-00000026,"Akbay, Celal"
37-wht-eac-00000027,"Al Saud, Sultan ibn Abd al-Aziz (Prince)"
37-wht-eac-00000028,"Albert, Carl B."
37-wht-eac-00000029,"Albertazzie, Ralph D."
37-wht-eac-00000030,"Alexander, John H."
37-wht-eac-00000031,"Alger, Mark W."
37-wht-eac-00000032,"Allan, Virginia R."
37-wht-eac-00000033,"Allen, Bruce"
37-wht-eac-00000034,"Allen, George H."
37-wht-eac-00000035,"Allen, George F."
37-wht-eac-00000036,"Allen, Greg"
37-wht-eac-00000037,"Allen, George E."
37-wht-eac-00000038,"Allen, Henrietta (""Etty"")"
37-wht-eac-00000039,"Allen, Jennifer"
37-wht-eac-00000040,"Allen, James B."
37-wht-eac-00000041,"Allen, Larry"
37-wht-eac-00000042,"Allen, Tony"
37-wht-eac-00000043,"Allen, William M."
37-wht-eac-00000044,"Allin, Lyndon K."
37-wht-eac-00000045,"Allin, Mary Ann"
37-wht-eac-00000046,"Allison, Royal B. (Gen.)"
37-wht-eac-00000047,"Allott, Gordon L."
37-wht-eac-00000048,"Allums, Betsy"
37-wht-eac-00000049,"Allums, Bill"
37-wht-eac-00000050,"Rifai, Zaid al-"
37-wht-eac-00000051,"Al Saud, Fahd ibn Abd al-Aziz (Prince)"
37-wht-eac-00000052,"Alsop, Joseph W."
37-wht-eac-00000053,"Alsop, Stewart J. O."
37-wht-eac-00000054,"Sowayel, Ibrahim al-"
37-wht-eac-00000056,"Alvarez, Luis Echeverria"
37-wht-eac-00000057,"Amabali, Louis"
37-wht-eac-00000058,"Ambrose, Christopher"
37-wht-eac-00000059,"Ambrose, Elise"
37-wht-eac-00000060,"Ambrose, Elaine (Miller)"
37-wht-eac-00000061,"Ambrose, Kevin"
37-wht-eac-00000062,"Ambrose, Kathleen"
37-wht-eac-00000063,"Ambrose, Myles J."
37-wht-eac-00000064,"Ambrose, Myles J., Jr."
37-wht-eac-00000065,"Ambrose, Nora"
37-wht-eac-00000066,"Anastasia, Robert"
37-wht-eac-00000067,"Anders, William A."
37-wht-eac-00000068,"Anderson, Clinton P."
37-wht-eac-00000069,"Anderson, Earl E."
37-wht-eac-00000070,"Anderson, Gladys"
37-wht-eac-00000071,"Anderson, Glenn E."
37-wht-eac-00000072,"Anderson, James"
37-wht-eac-00000073,"Anderson, Marius"
37-wht-eac-00000074,"Anderson, Martin C. (""Marty"")"
37-wht-eac-00000075,"Anderson, Robert O."
37-wht-eac-00000076,"Anderson, Stanton D."
37-wht-eac-00000077,"Andreas, Dwayne O."
37-wht-eac-00000078,"Andrews, John K., Jr."
37-wht-eac-00000079,"Andrews, John K., Sr."
37-wht-eac-00000080,"Andrews, Mark"
37-wht-eac-00000081,"Andrews, Robert J."
37-wht-eac-00000082,"Angelo, Bonnie"
37-wht-eac-00000083,"Annenberg, Walter H."
37-wht-eac-00000084,"Applegate, Bennett"
37-wht-eac-00000085,"Arbuthnot, Raymond J."
37-wht-eac-00000086,"Arends, Leslie C."
37-wht-eac-00000087,"Arevala, Tommy (Lt.)"
37-wht-eac-00000088,"Arguelles, Jaime"
37-wht-eac-00000089,"Arima, Tatsuo"
37-wht-eac-00000090,"Arkus, M. Frederisk"
37-wht-eac-00000091,"Armiger, Margeret"
37-wht-eac-00000092,"Armour, A. W."
37-wht-eac-00000093,"Armstrong, Anne L."
37-wht-eac-00000094,"Arnett, Michael"
37-wht-eac-00000095,"Arnold, Margaret Long (Dr.)"
37-wht-eac-00000096,"Arrowsmith, John"
37-wht-eac-00000097,"Arsht, Leslye A."
37-wht-eac-00000098,"Ash, Roy L."
37-wht-eac-00000099,"Aspinall, Wayne N."
37-wht-eac-00000100,"Assar, Nassir"
37-wht-eac-00000101,"Ast, Raymond"
37-wht-eac-00000102,"Atherton, Alfred L."
37-wht-eac-00000103,"Atkins, Oliver F. (""Ollie"")"
